Nanonose,,,A,B,C,D,E,F,G,H
Sample type,Concentration,,,,,,,,,
Water,9200,,95.5,21,6,11.94230769,64.13461538,21.49856,5.56784,1.174134997
Water,9200,,94.5,17,5,5.484615385,63.20576923,19.65856,4.968,1.883443898
Water,9200,,92,16,3,11.05769231,62.58653846,19.81312,5.19248,0.564834677
Water,4600,,53,7.5,2.5,3.538461538,35.16346154,6.876206897,1.641724138,0.144654088
Water,4600,,51,7.5,2.5,4.865384615,34.05769231,6.757241379,1.613965517,0.059662776
Water,4600,,50,8,2.5,3.980769231,33.61538462,6.773103448,1.776551724,0.075508864
Water,2300,,27.5,4,1.5,2.2,18.35576923,2.798333333,0.5635,0.030383091
Water,2300,,27.5,4.5,1.5,2.2,17.25,2.629666667,0.854833333,0
Water,2300,,27,4,1.5,3.1,17.47115385,2.645,0.624833333,0
Water,1150,,13.5,1.5,0,1.769230769,9.730769231,1.1140625,0.4959375,0
Water,1150,,13,2,0.5,2.653846154,10.61538462,1.078125,0.4528125,0
Water,1150,,13.25,2.5,0.25,2.653846154,8.846153846,0.4240625,0.115,0
Water,575,,4.5,0.8,0,0.442307692,2.432692308,0.651666667,0.529,0
Water,575,,4,0.8,0,0.884615385,3.671153846,0.406333333,0.348833333,0
Water,575,,3.7,0.5,0,1.326923077,3.759615385,0.329666667,0.253,0
Water,288,,1.5,0,0,0,1.107692308,0.132324324,0.144,0
Water,288,,1.5,0,0,0,1.329230769,-0.06227027,0.054486486,0
Water,288,,1.5,0,0,0,1.506461538,0.35027027,0.548756757,0
Ethanol,28800,,23,51,25,96,142.5,69.52909091,38.95181818,35.42659942
Ethanol,28800,,23.5,61,30.2,129,142,65.55818182,39.28272727,35.48234325
Ethanol,28800,,22,63.5,30.5,149,140.5,64.31090909,39.44818182,36.1791677
Ethanol,14400,,12.5,50.5,20,60,94.5,30.17142857,31.728,18.23773827
Ethanol,14400,,12.5,51,20.5,52,93.5,30.51428571,31.48114286,18.24813326
Ethanol,14400,,12,50,18,50,89.5,28.27885714,30.87771429,18.26881103
Ethanol,7200,,6,33.5,12.5,26,65.5,13.75854545,21.97963636,9.993431387
Ethanol,7200,,6,32,11.5,28,63,14.03345455,22.21527273,10.30294569
Ethanol,7200,,7.5,31.5,11.5,25,61,14.13818182,21.80290909,9.640167364
Ethanol,3600,,5,23.5,8.2,10.6875,37.96875,5.95862069,14.92758621,5.55704698
Ethanol,3600,,5.5,24,9,10.6875,37.6875,6.206896552,14.59862069,4.586819484
Ethanol,3600,,5.25,23.75,8.6,10.6875,38.53125,5.462068966,13.82896552,5.162951046
Ethanol,1800,,0.5,11.8,3.5,3.375,22.78125,2.76,10.12,3.289433384
Ethanol,1800,,1,12.3,3.3,3.375,23.0625,2.546666667,9.94,3.353977576
Ethanol,1800,,1,11.4,3.5,3.15,22.78125,2.64,9.893333333,3.359469906
Ethanol,900,,0,5.5,1.5,1.6875,12.09375,0.939705882,5.744117647,1.738983051
Ethanol,900,,0,5.7,1.5,1.6875,12.375,1.469117647,5.856617647,1.522285714
Ethanol,900,,0,5.5,1.8,2.25,12.65625,1.204411765,5.697794118,1.910614525
Acetone,72800,,15.5,84.5,42.5,235.5294118,122.9035294,74.3288,55.1096,201.3295605
Acetone,72800,,14,110,44,190.9929412,117.7647059,70.5016,53.9032,207.8303041
Acetone,72800,,16,128,51,141.3176471,110.4847059,69.68,54.1008,206.6790632
Acetone,36400,,6,91,33,89.43488943,77.80835381,31.79988406,40.77855072,88.608795
Acetone,36400,,7,87.5,30,114.4766585,78.25552826,31.54666667,40.47785507,90.02218508
Acetone,36400,,7,80,30,116.2653563,71.995086,31.45171014,40.39872464,90.27174034
Acetone,18200,,3,68,21,66.60824742,53.00515464,14.81277778,29.28177778,44.33121539
Acetone,18200,,3,63,20,83.49484536,59.10309278,15.379,29.56488889,43.89367645
Acetone,18200,,4,64,20,85.37113402,55.81958763,15.561,29.17561111,44.12298777
Acetone,8500,,2,49,13,36.08490566,33.47877358,6.043406593,17.30824176,20.32756325
Acetone,8500,,1.75,51.5,15.5,36.08490566,34.08018868,6.071428571,17.51840659,18.89677042
Acetone,8500,,1.5,47.5,13,36.08490566,33.57900943,5.903296703,17.24285714,17.95299753
Acetone,4250,,0,29,8,16.66666667,17.29166667,2.293023256,11.96918605,9.605241195
Acetone,4250,,1,27,8,23.33333333,17.91666667,2.421511628,11.8505814,8.665335186
Acetone,4250,,1,26,8,15,17.29166667,2.520348837,11.88517442,8.944176922
Acetone,2125,,0,14,4,8.673469388,7.806122449,0.602906977,6.454069767,3.932056379
Acetone,2125,,0,13,4,8.673469388,8.239795918,0.800581395,6.943313953,3.797410649
Acetone,2125,,0,14,4,8.673469388,7.37244898,1.06744186,6.572674419,4.200849295
Heptane,20100,,8.5,8.5,12.5,16,1.5,8.660478261,14.7866087,100.5459572
Heptane,20100,,8.5,8.5,12.5,13.25,2,7.157347826,13.47573913,86.56784637
Heptane,20100,,3,4,13,10.5,2,7.926391304,13.26163043,115.995926
Heptane,10050,,2.5,5.5,9.5,8,1.5,3.801933962,7.343136792,11.95421053
Heptane,10050,,1,-0.5,8,7,1.25,3.536462264,7.106108491,12.56811879
Heptane,10050,,2.5,0.5,9.5,10,1.25,3.631273585,7.063443396,11.83848238
Heptane,5025,,0.5,0.5,5.5,7,1.75,1.461818182,3.394159091,1.741926656
Heptane,5025,,0.75,1.25,5.75,7,1.5,1.863818182,4.065681818,2.809912854
Heptane,5025,,1.5,1.5,6,7,1.75,1.717636364,3.855545455,3.026066758
Heptane,2512,,1,0.5,4,3,1,0.523333333,1.737466667,1.41
Heptane,2512,,1.5,1,4.5,3,1,0.558222222,1.618844444,1.48
Heptane,2512,,1,0,3.8,2,1,0.453555556,1.723511111,1.3
Heptane,1526,,0.5,0,2,0,0.5,0.08795389,0.853152738,0.65
Heptane,1526,,0.5,0,2,0,0.5,0.158317003,0.914720461,0.55
Heptane,1526,,0.5,0,2,0,0,0.28145245,1.029060519,0.69
Heptane,628,,0,0,0.5,0,0,0.104666667,0.080244444,0.3
Heptane,628,,0,0,1,0,0,0.153511111,0.362844444,0.33
Heptane,628,,0,0,1.5,0,0,0.069777778,0.366333333,0.28
Pentanol,1400,,3.2,16,20.5,-3,9.75,67.94307692,36.60461538,33.14705882
Pentanol,1400,,2.7,16.5,20.2,-3,7,62.26769231,29.43769231,30.33884298
Pentanol,1400,,2.2,14.4,20.4,-3,6.625,62.05230769,29.44846154,25.10090361
Pentanol,600,,1.85,6.05,14.5,-1.5,3.125,45.024,38.0352,5.435980551
Pentanol,600,,1.3,6.2,14.2,-1.5,3.125,44.2176,37.728,6.05
Pentanol,600,,2,6,13.7,-1.5,3.25,44.2176,37.9392,6.274111675
Pentanol,300,,1.1,3.45,9.8,-0.75,1.75,20.83604167,29.9665625,0
Pentanol,300,,0.8,3.4,9.3,-1,1.75,21.47979167,30.94291667,0
Pentanol,300,,0.7,3.85,9.6,-1,1.875,21.8875,30.0953125,0
Pentanol,416,,0.416,7.904,18.512,-0.5,2.65,28.89264444,41.55363333,2.087147766
Pentanol,416,,0.416,5.616,15.808,-0.5,1.625,29.78531111,42.90751111,4.617734628
Pentanol,416,,0.416,5.408,14.976,-0.5,2.3,30.35066667,41.73216667,1.767079646
Pentanol,192,,0.192,1.728,8.64,-0.25,1.3,5.7856,14.2144,0
Pentanol,192,,0.192,3.072,9.12,-0.25,1.3,4.7872,11.2192,0
Pentanol,192,,0.192,2.496,8.736,-0.25,1.125,5.0688,12.0448,0
Pentanol,103,,0,1.2875,5.579166667,0,0.65,1.845416667,6.695,0
Pentanol,103,,0,1.072916667,4.935416667,0,0.8,2.288888889,7.024027778,0
Pentanol,103,,0,1.716666667,6.4375,0,0.8,1.945555556,7.066944444,0
